Title,Company,Location,Postdate,ExtractDate,Summary,Salary,JobURL
Encargada de tienda,"Carnes frías, quesos, vinos, abarrotes “Inhumana”","Tlalpan, CDMX",Hace más de 30 días,2021-01-24,"Inventarios y programación de pedidos. “Inhumana, carnes frías, quesos, vinos, abarrotes” solicita: Encargada de tienda con experiencia en puesto o similar,…","$6,000 al mes",https://mx.indeed.com/company/Inhumana/jobs/Encargada-tienda-ac05cd9cb8ad5d83?fccid=e62e44bba2726def&vjs=3
ANALISTA DE TELECOMUNICACIONES,Consorcio Jurídico de Cobranza Especializada,Ciudad de México,Hace más de 30 días,2021-01-24,"Conocimientos en sistemas operativos, metodologías de programación,. Zona laboral: Ciudad de México. Consorcio Jurídico es una empresa dedicada a la gestión de…",,https://mx.indeed.com/rc/clk?jk=658c072a32162bc9&fccid=d25d4a2a193bb1b7&vjs=3
Project Leader( FREENLACE),J2E soluciones,"Miguel Hidalgo, CDMX",hace 19 días,2021-01-24,"Conocimientos en lenguajes de programación: HTML5, CSS3, JQuery, JavaScript, C#, Java. Puesto solicitante: *Project Leader (FREENLACE). $140 a $200 por hora.",$200 por hora,https://mx.indeed.com/company/J2E-soluciones/jobs/Project-leader-d7a1c1549c41ab90?fccid=cd38f75bb2b9c1ac&vjs=3
FULL STACK - QA ENGINEER,"Grupo Siayec, S.A. de C.V.","Benito Juárez, CDMX",hace 2 días,2021-01-24,Desarrollo y programacion en Js12+ y Js16+. Somos una empresa Experta en soluciones de TI y estamos en busqueda de tu talento como: *.,"$20,000 - $25,000 al mes",https://mx.indeed.com/company/Grupo-Siayec/jobs/Full-stack-ed46795eba9e3a5b?fccid=8b45da538ecb1bec&vjs=3
Ejecutivo de cuenta (Ventas Técnicas),ENLACE LABORAL,Ciudad de México,Hace más de 30 días,2021-01-24,Ejecutivo de cuenta (Ventas Técnicas). Edad: 30 a 45 años. Disponibilidad de viajar – aprox 2 veces por mes. Indispensable: Licencia de conducir vigente.,"$10,500 al mes",https://mx.indeed.com/rc/clk?jk=0899efc8894ecc26&fccid=8757b778a936cc74&vjs=3
Desarrollador Cobol,Bumeran,"Tlalpan, CDMX",Hace más de 30 días,2021-01-24,"En nuestro equipo, estamos buscando a un nuevo integrante, tenemos en mente personas que sientan verdadera pasión por la tecnología, con ganas de innovar,…",,https://mx.indeed.com/rc/clk?jk=2f086e4d9ba8d41b&fccid=f4ce47cf6f6f15f3&vjs=3
Técnico para Impresoras,ENLACE LABORAL,Ciudad de México,Hace más de 30 días,2021-01-24,“ Técnico de impresoras Multifuncionales De INYECCION”. Para una importante Empresa Trasnacional líder en impresión y consumibles.,"$7,000 - $8,000 al mes",https://mx.indeed.com/rc/clk?jk=db6dbebe5bd03c64&fccid=8757b778a936cc74&vjs=3
Desarrollador Java,Cloudco,"Cuauhtémoc, CDMX",Hace más de 30 días,2021-01-24,"Conocimientos en programación orientada a objetos Java o Python. Nos especializamos en la implementación, consultoría y desarrollo de la plataforma de…","$15,000 - $20,000 al mes",https://mx.indeed.com/rc/clk?jk=8545521f5b6b29e4&fccid=942c4ec626ccb63b&vjs=3
Auditor Contable Interno,AGZA Consultores,"Cuauhtémoc, CDMX",Hace más de 30 días,2021-01-24,"_*Importante grupo integrado por profesionales altamente experimentados en el ámbito fiscal, legal, laboral, administrativo y de programación, solicita: …","$25,000 - $30,000 al mes",https://mx.indeed.com/company/Aura-Smart-Luxury-Living/jobs/Auditor-contable-interno-854130f20606c1cf?fccid=258790730f791511&vjs=3
Becario de Sistemas,Consultoria IT,"Miguel Hidalgo, CDMX",Hace más de 30 días,2021-01-24,Conocimiento de bases de datos y de programación JAVA Y SQL.*. Empresa de Consultoría en TI solicita Becarios. Dominio del idioma inglés en un 80%.,"$6,000 - $7,000 al mes",https://mx.indeed.com/company/Hospitales-H/jobs/Becario-sistemas-7d84bc5a9e89aa5e?fccid=ce9331723189fed9&vjs=3
D2C MARKETING – MANAGER (LATAM),Fox Networks Group,"Colonia Lomas de Chapultepec, CDMX",Hace más de 30 días,2021-01-24,"Coordinación con equipos internos de producto: digital, redes, programación, PR, para generar acciones de adquisición y retención.",,https://mx.indeed.com/rc/clk?jk=e42234561c21f07d&fccid=1e6bb6ac32b82eea&vjs=3
RESPONSABLE DE AREA DE PICKING (CEDIS TOREO),Mobo,"Colonia Lomas de Chapultepec, CDMX",Hace más de 30 días,2021-01-24,IMPORTANTE EMPRESA DE DISTRIBUCION DE ACCESORIOS PARA CELULARES REQUIERE PARA SU CEDIS: RESPONSABLE DE AREA DE PICKING. Edad 24 a 38 años.,"$7,000 al mes",https://mx.indeed.com/rc/clk?jk=355192026558ae7a&fccid=76b2a7ad095a3f67&vjs=3
Gte Sup Mercados Otros Riesgos,Santander,"Cuajimalpa, CDMX",hace 17 días,2021-01-24,"Habilidades en programación - SAS, SQL o R. Analizar los portafolios de Riesgo de Crédito. Generar y actualizar la visión consolidada del perfil de riesgo de la…",,https://mx.indeed.com/rc/clk?jk=6a790b302109ea57&fccid=e57a47a3d1d90e39&vjs=3
Desarrollador .NET,AMK Technologies,"Tlalpan, CDMX",hace 1 día,2021-01-24,Esta vacante viene de la bolsa de empleo Talenteca.com. ¡SÚMATE A NUESTRO EQUIPO DE TRABAJO! Experiencia Laboral: Mínimo 2 a 3 años en puesto similar.,"$25,000 al mes",https://mx.indeed.com/rc/clk?jk=247e91ff2e2b8bd6&fccid=ca62e96f16888929&vjs=3
Supervisor Contable,AGZA Consultores,"Cuauhtémoc, CDMX",Hace más de 30 días,2021-01-24,"_*Importante firma contable integrada por profesionales altamente experimentados en el ámbito fiscal, legal, laboral, administrativo y de programación, solicita…","$17,000 - $20,000 al mes",https://mx.indeed.com/company/Aura-Smart-Luxury-Living/jobs/Supervisor-contable-79a7c41de865af0a?fccid=258790730f791511&vjs=3
Jefe de IT Bilingüe,Maguen Team SA. de CV.,"Miguel Hidalgo, CDMX",hace 9 días,2021-01-24,Análisis y Selección de soluciones tecnológicas. Elaboración de Planes de Trabajo. Generación de manuales y políticas para TI. Conocimiento en seguridad de TI.,"$30,000 al mes",https://mx.indeed.com/company/Maguen-Team-SA.-de-CV./jobs/Jefe-IT-biling%C3%BCe-8cd9fbb998df9a26?fccid=93eac4600cac7240&vjs=3
Front End Developer,N19,"Benito Juárez, CDMX",hace 3 días,2021-01-24,"Experiencia em desarrollo de software con múltiples lenguaje de programación. Nos encontramos en búsqueda de tu talento como Front End Engineer, para laborar…","$20,000 - $30,000 al mes",https://mx.indeed.com/company/n19/jobs/Front-end-developer-20bbd92637a9afb6?fccid=f208f717fa5b62cf&vjs=3
Ingenieros en sistemas - Programador,COSMETOBELLEZA,"Iztapalapa, CDMX",hace 17 días,2021-01-24,"Lenguajes de programación: Java, JavaScript, Delphi, . Importante empresa 100% mexicana solicita. Ingeniero en Sistemas (Desarrollo y Programación).","$12,000 - $18,000 al mes",https://mx.indeed.com/company/COSMETOBELLEZA/jobs/Ingenieros-sistemas-bf9ee1e53d91a3d9?fccid=61eb8c548cd76dcb&vjs=3
Ingeniero en Seguridad,Femsa,Ciudad de México,Hace más de 30 días,2021-01-24,"Te invitamos a formar parte de nuestro Equipo como : Buscamos persona organizada, proactiva, con excelente actitud de servicio.",,https://mx.indeed.com/rc/clk?jk=1bc3101bfe13d185&fccid=17dec61f51780d91&vjs=3
COORDINADORES CONTROL DE CALIDAD (Ropa Dama Multiestilos),Grupo Julio,Ciudad de México,Hace más de 30 días,2021-01-24,"Así como la programación en tiempos de entrega y manejo de personal. IMPORTANTE EMPRESA LIDER EN EL GIRO DE BOUTIQUES DE ROPA, CALZADO Y ACCESORIOS DE DAMA A…",,https://mx.indeed.com/rc/clk?jk=27413e2b0184c494&fccid=e2e4d9844dbb38b5&vjs=3
Becario American Express,American Express,Ciudad de México,Hace más de 30 días,2021-01-24,Interes por el area de programacion. Hay una diferencia entre tener un trabajo y hacer la diferencia. En American Express hemos marcado una diferencia en la…,,https://mx.indeed.com/rc/clk?jk=bd311f566c7b73f5&fccid=f057e04c37cca134&vjs=3
Diseñador Web jr,Bumeran,Ciudad de México,Hace más de 30 días,2021-01-24,"Manejo de lenguajes de programación como php, HTML5,Javascript, CSS3. Mantenimiento y soporte de sitios web ya desarrollados para clientes de la compañía.","$8,000 al mes",https://mx.indeed.com/rc/clk?jk=3bdf0694a3c15e22&fccid=f4ce47cf6f6f15f3&vjs=3
Developer Data Unix,Grupo Think HST,"Miguel Hidalgo, CDMX",hace 19 días,2021-01-24,"Manejo de Unix hacer programación, control M, Shell Scripting (Unix, SS Teradata). Para laborar 3 días en Toluca, Edo. de Méx. y 2 en Azcapotzalco, Cdmx.","$53,300 al mes",https://mx.indeed.com/company/Grupo-Think-HST/jobs/Developer-data-unix-7264211300865a76?fccid=4a4bea672214c84d&vjs=3
Tester Funcional,Capital Empresarial Horizonte,"Cuajimalpa, CDMX",hace 12 días,2021-01-24,"Conocimientos básicos de programación con J2E. Cualquier lenguaje de programación (Java, C##,...). Capital Empresarial Horizonte Empresa Mexicana especialista…","$34,000 al mes",https://mx.indeed.com/company/Capital-Empresarial-Horizonte/jobs/Tester-funcional-f0d853bba9e01a12?fccid=707df5bee5a2922f&vjs=3
Enfermero Quirúrgico,BIOSSMANN,"Cuauhtémoc, CDMX",hace 3 días,2021-01-24,Coordinación con médicos para programación de cirugía y material. En BIOSSMANN somos una empresa 100% mexicana con presencia a nivel nacional.,"$5,000 - $5,500 al mes",https://mx.indeed.com/company/Biossmann/jobs/Enfermero-quir%C3%BArgico-adf4bc62b3f6e969?fccid=5200aa79934fec46&vjs=3
Business Intelligence Analyst,Segundamano,Ciudad de México,Hace más de 30 días,2021-01-24,"Lenguajes de programación para minería y análisis de Big Data (SQL, Python, R). ¿Tomas decisiones basadas en datos? ¿Sabes que R es más que una simple letra?",,https://mx.indeed.com/rc/clk?jk=a39e9739711cd8c3&fccid=58000ab63795c5f4&vjs=3
Gerente de Medios Digitales,UIC Universidad Intercontinental,"Tlalpan, CDMX",Hace más de 30 días,2021-01-24,"Amplio conocimiento técnico en desarrollo de páginas web y programación (Wordpress, joomla y UX). Prestigiada universidad al sur de la ciudad solicita personal…","$25,000 al mes",https://mx.indeed.com/rc/clk?jk=f75966de2aed898f&fccid=832e75a6772b418b&vjs=3
Programador,COPPEL,"Miguel Hidalgo, CDMX",Hace más de 30 días,2021-01-24,"1 año en lenguajes de programación. Experto en programación Java (Struts, EJB, JSP, JSF). Programar la codificación de los sistemas, interpretación de las…",,https://mx.indeed.com/rc/clk?jk=a266c2a4970fa682&fccid=ee79d446554b2f96&vjs=3
Analista Mesa de Ayuda,Grupo Salinas,"Tlalpan, CDMX",Hace más de 30 días,2021-01-24,"Grupo Salinas es un conjunto de empresas dinámicas, de rápido crecimiento y a la vanguardia tecnológica, con enfoque en la creación de valor económico –al…",,https://mx.indeed.com/rc/clk?jk=2654d3aab02ae609&fccid=28689c4fbc9de9e7&vjs=3
Coordinador de Social Media - Yves Rocher,Grupo ROCHER,"Cuauhtémoc, CDMX",Hace más de 30 días,2021-01-24,"Certificación en Hootsuite y/o herramientas de programación, listening y monitoreo de social media. Eres comprometido, apasionado, positivo, eres respetuoso con…",,https://mx.indeed.com/rc/clk?jk=8662c5bca7471277&fccid=944b99ec5410a4d5&vjs=3
Asesor Técnico de Ventas Industriales,ATRYA PLAST,"Gustavo A. Madero, CDMX",hace 13 días,2021-01-24,"Esta vacante viene de la bolsa de empleo Talenteca.com. Asesor Técnico de Ventas Industriales. Ingeniero Industrial, Mecánico, Control y Automatización o afín.","$9,000 al mes",https://mx.indeed.com/rc/clk?jk=66262c12b811ad17&fccid=ec6fcc1f8bb3d2b0&vjs=3
Desarrollador Full stack,Global Systems & Information Technology,"Colonia Nápoles, CDMX",hace 9 días,2021-01-24,Disponibilidad de tiempo de trabajar en diferentes usos horarios. Facilidad para viajar de ser necesario. Prestaciones de Ley con esquema de sueldo Mixto.,"$48,000 al mes",https://mx.indeed.com/company/Global-Systems-&-Information-Technology/jobs/Desarrollador-full-stack-d855f9b32f523cb1?fccid=d5ffd9ec9aa33423&vjs=3
CALL CENTER,ELEVATIONE MEX ERM SA DE CV,"Miguel Hidalgo, CDMX",Hace más de 30 días,2021-01-24,Empresa dedicada a servicio de spa y venta de producto. Proporcionar informacion general sobre productos o tratamientos. Programacion y confirmacion de citas.,,https://mx.indeed.com/rc/clk?jk=c9f73bdd72a30904&fccid=66fef2b9897a5e7f&vjs=3
Administración - Contador,Más Valor,"Cuajimalpa, CDMX",hace 14 días,2021-01-24,Mantener actualizado el flujo de efectivo y preparar programación de pagos para su autorización. Esta vacante viene de la bolsa de empleo Talenteca.com.,"$16,000 al mes",https://mx.indeed.com/rc/clk?jk=33e5e99ecc5adc64&fccid=10dd3b626c24a3fe&vjs=3
Ing. de Pruebas [Tester],Testing IT,Ciudad de México,Hace más de 30 días,2021-01-24,Conocimientos en estructura de datos de programación (lenguajes de programación). Escolaridad: Licenciatura en Sistemas o Carrera Afín. Horario: 9 a 18:00 Hrs.,,https://mx.indeed.com/rc/clk?jk=48846993fa8d42ea&fccid=614df0614b3a1b86&vjs=3
Salesforce Administrator/ Developer,Shorewise Consulting,"Benito Juárez, CDMX",hace 9 días,2021-01-24,Shorewise Consulting *se encuentra en búsqueda de los mejores candidatos para la siguiente vacante: +3 años de experiencia administrando.,"$45,000 - $55,000 al mes",https://mx.indeed.com/company/Shorewise-Consulting/jobs/Salesforce-administrator-689824c7be7cc9a1?fccid=6ee6a21480ce99ce&vjs=3
Consultor Salesforce Jr,TS4 Strategy,"Miguel Hidalgo, CDMX",hace 5 días,2021-01-24,TS4 Tech Solutions for Strategy. Soluciones en transformación digital y humana. Se encuentra en la búsqueda de: Experiencia en implementación de CRM (+2 años).,"$17,000 - $26,000 al mes",https://mx.indeed.com/company/TS4-Strategy/jobs/Consultor-salesforce-junior-1c65011827287202?fccid=21b404ab36d05b7e&vjs=3
COORDINADOR DE MEDIOS DIGITALES (MARKETING),Spin S.A. de cv,Ciudad de México,Hace más de 30 días,2021-01-24,"Responsable de diseñar, planificar e implementar los planes de marketing en los medios digitales de la empresa en conjunto con el área de ventas.",,https://mx.indeed.com/rc/clk?jk=51665e966956c76a&fccid=9820f07f19741118&vjs=3
Trafficker Digital para agencia digital de performance,Olozfera,"Cuauhtémoc, CDMX",hace 17 días,2021-01-24,"Olózfera Agencia digital de alto crecimiento, busca Traficker Digital para campañas de Performance.. Escolaridad: Persona egresada de la Carrera de Economía,…","$15,000 - $18,000 al mes",https://mx.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AooLUkaZszNYXJa5t2s33g5qoI_PnclcrTb6T1G5TzZHAVq4I5SKOrGCbVtFN2CynohmjsIS-hLf0ZIRKuq5e2Vx8-iAYKHcFZk_qZVMdWW6kdZixMbRPZhnhhUjCC-w57KgTKF3NJ0vWkGPaGfb-E40_c28vIjlLSO9XHMyczC93chYQ2VfLL3QiEFkzxqCBXlfJZfLMV7lzTACxkJQMipnhz0U-zqH0kJYHZEfKO3B44BaUdrnIfVT6WQybME7NmaL3hInRrBkY5RAiLWQYi_WGzkhFJFiFNG3sNfh05Sao0ZDHC7VRX0yhSkSacla1YqGps_PPPXOMuj-glWxuXbkGdplbTDtkXXm0fHbttoNIMdohnSIls1HuwneZOZQP6NfAkN1EQshrmgPhWL2KMoge_0vqh_bc038FRtM_fIxNczJgvU39KSfrJLiiNI8eoErEda0KIk5heQ2Q-9GLnFbQR3mt0FBNg5R792zl4NHLvCE8X4aRHq5jS1zc9_lqVKgyKaKsUsw==&p=0&fvj=1&vjs=3
Ejec Reportes Regulatorios IFRS9,CONFICENCIAL,"Cuauhtémoc, CDMX",Hace más de 30 días,2021-01-24,Trabajar en conjunto con las áreas de programación para la automatización de Reportes Regulatorios. Elabora y envía los Reportes Regulatorios de Cartera…,,https://mx.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BcYGqTpIYCu3gKIYIM1iKMLDZ-TE_m_99kABDSYeB7MNKwHegySXNyEslB4PdUhDGgZsDd_RAixt8sZzj1cLG6N_8X40s6UwrFzzfoIntspr-mFBIifak1LqlSYP57BKllSjBNbFwEMFD2zv32yEOpV8UobRvWS7Jq6ynKgt8gEoJMVWJxmROf4kV-BQ2cOJdSg-81aQX82ke2E7h44vI33LQo7WwCBQ7Pgpv5H14mmwIMBUL9qaT4oJE7bEAtwqPwqvbMRZDh6Wpd7NQ5Lurz53h6fTkRbh6aVGomW2ZzadVxLpDEN4LDUwlqYoEqKoMOTVKZ8x09ERTvgtXWKG4erV1q9yeWGNJBNCzDDfA-6lqeXn4Rkpnh-1SmmuQnBb1psb7m0tm-QQW8rRDXZ5D6NbLm1w7Vga_Bgqs8Ruh3pNMX4MwifI-f59rrpTCvI_nzWKFNKIX7DiIvJ7DireJIQVt8IUKVXpPeUqOoDlNHmBpXXgf7mrJ7&p=1&fvj=1&vjs=3
Full Stack Developer,Entersol,"Benito Juárez, CDMX",hace 8 días,2021-01-24,Micro servicios escalables horizontalmente escritos y aprovechando técnicas de programación funcional. En ENTERSOL confiamos que el talento humano es el activo…,"$19,000 al mes",https://mx.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ciwzz3aHBngsPBIFiORAsyzMvEBJO4W0r-wyZq9YYzK08k2TCv7RHXBi0nKQ5YgXRfY_m1GzSrYh-Ai6Go3cbsDkqTYrXL8lLUTpSPBq_bgeANLhRCoUbaasr6twOfZcVWPJq_GUkIcj3CAaYcc1zjeTvcQVkIlR26Bn3RHnaBA41HGniNHzdIL2wLemj9_ASuNU69Y9E-gZk5jzXT6vK2rNvPFZUTRJ57C-TD-CK4PDNbEf5FrflWLFIWrL8MaprFRbuWaI3wQrn-9Xy8xGPFFnwRIyFZxTMRYLqAMe_I_O3YbON7vRCB8aO0EZOAz2vLVwvaXZlLu5vZNOkC6KrbpOLtYS5-Awj5quujjeLiqVBdXx82N3F6MW9ybNkxjTSG6U6HEYkJ5ZGaepy-aW1yIs-dgNy7yss-FDjkMtBTCKsgJMOuv04zK3MEOFcV07ed12W0tP34MkWYj6TMBv_p&p=2&fvj=1&vjs=3
Arquitecto de Soluciones,Consultora TI,"Cuauhtémoc, CDMX",hace 7 días,2021-01-24,+4 años de Desarrollo y programación de software. Esta vacante viene de la bolsa de empleo Talenteca.com. Empresa Multinacional especialista en Arquitectura…,"$42,000 al mes",https://mx.indeed.com/rc/clk?jk=90621436a9f396de&fccid=f45888440fef5091&vjs=3
Analista Programador de Sistemas de Información,"CENEVAL, A.C.","Benito Juárez, CDMX",hace 4 días,2021-01-24,"Análisis de procesos, base de datos, programación: 2 años (Requisito mínimo). _Programación de sistemas de información web utilizando lenguaje de programación…","$16,000 - $16,500 al mes","https://mx.indeed.com/company/CENEVAL,-A.C./jobs/Analista-programador-sistemas-informaci%C3%B3n-f4b721679c6c06fe?fccid=2eeb70bb98b3e06e&vjs=3"
Programador,Qually Corporacion S.A. De CV,"Colonia Tacuba, CDMX",hace 12 días,2021-01-24,"_Importante Laboratorio, Tercero Autorizado como Laboratorio de Pruebas, Unidad Analítica / Estudios de Biodisponibilidad y Bioequivalencia, y Perfiles de…",,https://mx.indeed.com/company/Qually-Corporacion-S.A.-De-CV/jobs/Programador-2fd6d12177cdaa86?fccid=fd825cfec0bdf44a&vjs=3
Desarrollador Senior,Warriors Lab's,"Benito Juárez, CDMX",hace 11 días,2021-01-24,Empresa mexicana* líder en el desarrollo e investigación en TI. Está en búsqueda de INGENIEROS TITULADOS para integrarse al área de Sistemas como *Desarrollador…,"$16,000 - $22,000 al mes",https://mx.indeed.com/company/Warriors-Lab's/jobs/Desarrollador-senior-6c4deb58f132ca8a?fccid=7c5c60b57362e99e&vjs=3
SUPERVISOR (A) DE TRAFICO / CDMX,TRANSPORTES MINERVA S.A. DE C.V.,"Azcapotzalco, CDMX",hace 13 días,2021-01-24,Comunicación y seguimiento a lavado para la programación de lavado y liberación de remolques. Empresa 100% Mexicana Enfocada en Transporte Terrestre Solicita: *…,"$11,000 al mes",https://mx.indeed.com/company/TRANSPORTES-MINERVA-S.A.-DE-C.V./jobs/Supervisor-trafico-bb8540ba157f9c9e?fccid=ba50c4376286458e&vjs=3
INGENIERO DE INFRAESTRUCTURA,PRAXIS TI,"Benito Juárez, CDMX",hace 11 días,2021-01-24,"EXPERIENCIA: De 3 a 5 años en nociones de programación estructurada. Importante Empresa de Consultoría, especializada en Tecnología de la Información, solicita:…",,https://mx.indeed.com/rc/clk?jk=f260decffddebaad&fccid=942c4ec626ccb63b&vjs=3
Jefe de Mantenimiento,GRUPO SOEL SA DE CV,"Cuajimalpa, CDMX",hace 25 días,2021-01-24,Garantizar de mantenimiento (preventivos y correctivos). Crear e implementar políticas y procesos. Gestión del equipo (Evaluación de KPIS).,"$20,000 al mes",https://mx.indeed.com/company/GRUPO-SOEL-SA-DE-CV/jobs/Jefe-mantenimiento-a4358c02ec51513c?fccid=5ace18c58ef5a231&vjs=3
ING. QUIMICO EN ALIMENTOS (REPRESENTANTE TÉCNICO VENTAS DE EXPORTACIÓN),COMPLEMENTOS ALIMENTICIOS SA DE CV,"Azcapotzalco, CDMX",Hace más de 30 días,2021-01-24,Elaborar o coordinar con Servicio al Cliente / Administración de Ventas la programación de entregas de pedidos.,,https://mx.indeed.com/rc/clk?jk=3ee57865d3af6688&fccid=8593bc19297d3792&vjs=3
Ingeniero en Desarrollo y Programación,Vía Transfer Integral,"Benito Juárez, CDMX",Hace más de 30 días,2021-01-24,"Programador en el lenguaje a desarrollar, con experiencia.",,https://mx.indeed.com/rc/clk?jk=5716fa78d57aa7fa&fccid=2e4b8d012aad7beb&vjs=3
OPERADOR DE EXTRUCCIÓN DE POLIETILENO,HV Plásticos,"Cuauhtémoc, CDMX",Hace más de 30 días,2021-01-24,"Asegurar que la producción cumpla con las especificaciones requeridas a través de las correcciones y observaciones del Supervisor, Jefe de Producción y…",,https://mx.indeed.com/rc/clk?jk=85c0a2cef2d4c6cd&fccid=0fe2540f61d2e576&vjs=3
DOCENTE DE PROGRAMMING Y ICT (SECUNDARIA),The Bright House Academy,"Benito Juárez, CDMX",hace 3 días,2021-01-24,"Conocimientos en lenguajes de programación orientados a objetos con enfoque en microcontroladores (Javascript, Python, C++). Que sea disciplinado y responsable.",$150 - $200 por hora,https://mx.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DHDoWKzBivqlXIafL8D4EGCahWsxn-nsU11mz4_m1IBKOGZtaivRyKH-RE8deqckKAm1l3_D0r4OotJef8xGnQ1w3PQ-ORPtdG8xeUSzm65JBq5L4PJSU-U3VIQDdvzsBwScvDzXi20Jd9ozIrgSLIvQNPk9XlOETbaeaCadSyuCzkf2iJl_xCvDYNmnr1BzLlIU6pMzwVKR8WblOTou1G1MG7yUWm2wVnLVhnq_J0a2PlyzERcwyTlInL6OT_vJCbo9EAiZAxh3KDPAFk12obw0gG1Z3jCkBMLP9oXguxhxc7xpVE5Q7QU99BFdLuvRa8R9dT8XL0KcpibTWGc1a3SKiOfsZRh4LG5xmqfV-AGGlX1hyBmVto_YBfcE_BOWahkJZW71UeQjwGdPj0yTKFUvQmEHIkxqO0R_50uQLCfWSewegKMKWdT8EM3x6b99Di-2frmCahK-jCumDrIq0U4Cg8Cq7lDR9apfBDmrbFyKEtrGsd68pt&p=13&fvj=1&vjs=3
Técnico electromecánico,Azisten Group S.A. de C.V.,"Azcapotzalco, CDMX",hace 17 días,2021-01-24,Edad: 20 a 40 años. Vivir como máximo a 1 hora de Azcapotzalco. Sueldo: 5200 pesos libres mensuales + prestaciones de ley desde el primer día.,"$5,200 al mes",https://mx.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DtJAPggw9f4ZE3jQT0miw2HMIGX_AdViQihdnm5HK21tTBYQoUoAhszOuioFwNV47TfGcbPjo2O37XYGHM2EsTrBSETeYOulow7qVNePG6L5x2quI-l13i_gmONmwXC59098i9udMPjebM4yq402RbUpRwRSQ2RuQYv3M5sSCu3-XAlwLOLNNEgZQ3_uJUAOqGjNGGHPx-SIhXr72Uevt0xRs0eU7utT5E5dnA-zbkG1GTdhmq31GmTIUGpYI4CUry0fLqKw6u7ntN4i16YwDsJkcBHqVrgtScJvcsLhXWLv4_s0L-LYRPMirSnfF6hlt98my93bA9OhXDUo1ppcW8RD_n42ljCk5vjhYuTgHhTsP5zfgNDvMM_ZZuXRpm0_cP6pQUCfTRs59h_DsYPFZyxg9PRw62geMaDlo-XT1yoJG8nuYqvO88I1wkyGf25pj1LhZyKhKEMCspqAv8G29rUwZDhohScp9pg1AbFJxcpmf0DG_3KL3V_-Dz6TS37yA=&p=14&fvj=1&vjs=3
¿Te encanta programar? Web/Móvil Backend & Frontend. Programador Jr,M22,"Coyoacán, CDMX",Hace más de 30 días,2021-01-24,"Aprendizaje y desarrollo con lenguajes de programación para sistemas web y aplicaciones móviles. Ahora estamos buscando a una persona que, al igual de todos los…","$12,000 - $20,000 al mes",https://mx.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DxmIgQqch13PGkj6ugSzylEzKPimiy2zCuNjU_g2WdPwXOnVBAMrjtYMwJEp-PDOQXbMrKiIaZlnjkV6XA9HkD25wG13cXi43TYsk_QiJXKYZfSAl71U_FdoV29WLUoQCEi0rvjQh0BYXIJ1-DJX4tFUOgb0rCNO1JDctlcPQCzhmjZ-5H_uuNSrNP3Dpzn4MkOhwUm5r4G9EuUMiWcW02Ym_eTIFgnkwKbnwGZsrMFISLG9ZUWaltfBVZEx7oPaBLprb-hRMscW1lGAOJxMsCEm-RMO101hZKmYzhe8CzkVyvBozLbJPWcdGBdvKEg78lAWKmdDvn5NXeOvdOQ367q3s5kCivU5fQ2bZaXWguu0r0Qw9SGiXIdeO1uiTqMO6w6EutFDoRyyuDUWtQSb2m2RC7zuLMfVniIvn3HDgIYz2VBa2keQkKO6XlB8a5HivYCrw6mzKj-BfQrip6ceWDPVl4gTkN6FiifGEJDoCo8WrlLbZ3DZUEaPcjVgLP7glPBK3FpZPaIiT99Wj5Cycc&p=15&fvj=1&vjs=3
Analista Programador,TELEFÓNICA MOVISTAR MÉXICO,"Álvaro Obregón, CDMX",hace 8 días,2021-01-24,"Creación de hotfixes, work arounds y automatizaciones a través de programación avanzada en Shell script en linux, awk, pl/sql, sql avanzado, base de datos,…",,https://mx.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CAK0KuF2dXzmzJqvPttU3dIjGr4O77-6vARMFVn6iksX32Lw8x6_4x2vvCHoFEgUERI24eTi8aQMnIwcRP4vxhuH6fA2g7bRMYLlHFv7IPhD-sfUaomJjb5bOrk66A3aBfclbr-m-6n6UagZym155mGE1ISuvPgRwmALROcsp8c82VuilenGAqy--gqmKPElQ3Q_YrW6zcMMfVGoRCzR1E6WapPfpsno7JSUx8yFpGhUyerRlcpWc_CkDD0xwsf23K79IFvQx9jqBqBQeu4u-mWWgYbhuzSZl7zJT8ZCwY8RUvRbQuSQbSbrZY9FhhYAam6umRp3D1Yd0NBoOOk-9Cna8-xjOFA3yxRd-ERyBt25rUOqo4rIog_C5Q9BrpndviDciNhR0ZJjS63UwvrjFumOYn9CUM2dK5w9_HKvT6D-n4Nor3Z9x2emMTtqbG65-O2bPWyt2P1sodXJzH6D0l9UpWsg_M69Y=&p=16&fvj=1&vjs=3
